id	name	type	parentId
0x7FD46CD0	Global	Global	
0x7F992E50	?	SemiGlobal	
0x7FB81D46	?	SemiGlobal	
0x7FC8B3A9	?	SemiGlobal	
0x7FCDD99D	?	SemiGlobal	
0x7FE6D20D	?	SemiGlobal	
0x7FE6EE0D	Accessory_Globals	SemiGlobal	
0x7F9A625F	AquariumGlobals	SemiGlobal	
0x7F74C118	ArcadeGlobals	SemiGlobal	
0x7FC026B4	ArtGlobals	SemiGlobal	
0x7FAF5F74	Aspiration_CoolShadesGlobals	SemiGlobal	
0x7F8FA50E	AspirationsHatGlobals	SemiGlobal	
0x7F281D4B	AutoSprinklerGlobals	SemiGlobal	
0x7F67FE05	BarGlobals	SemiGlobal	
0x7F4437F2	BedGlobals	SemiGlobal	
0x7F1BFB16	BigRinkGlobals	SemiGlobal	
0x7F327BCE	BookCaseGlobals	SemiGlobal	
0x7FE64A8D	BookGlobals	SemiGlobal	
0x7F130D8A	BouncyToddlerObjectGlobals	SemiGlobal	
0x7FF9DF6B	BuffetGlobals	SemiGlobal	
0x7FD0A90D	CakeGlobals	SemiGlobal	
0x7F7A8450	Career_FingerprintGlobals	SemiGlobal	
0x7F8C6EDA	CareerCandyFactoryGlobals	SemiGlobal	
0x7F4EA230	CarGlobals	SemiGlobal	
0x7F56BB72	CarGlobalsNew	SemiGlobal	
0x7FDE81DC	CashRegisterGlobals	SemiGlobal	
0x7FC6E1D8	CeilingFanGlobals	SemiGlobal	
0x7F0B61F3	ChairGlobals	SemiGlobal	
0x7FA1DF44	ChessGlobal	SemiGlobal	
0x7FD18CCD	ClimateGlobals	SemiGlobal	
0x7FB01AF3	Clock_Alarm_Globals	SemiGlobal	
0x7F48AF7A	ClothingBoothGlobals	SemiGlobal	
0x7F2FEFCC	CoffeeMachineGlobals	SemiGlobal	
0x7F441294	ComputerGlobals	SemiGlobal	
0x7F8EC725	ConnectedColumnGlobals	SemiGlobal	
0x7FDDAB2B	ContainedPetGlobals	SemiGlobal	
0x7F9EE20D	ControllerGroupGlobals	SemiGlobal	
0x7F074B38	ConversationPersonalityGlobals	SemiGlobal	
0x7F12A804	CounterGlobals	SemiGlobal	
0x7F067AA0	CraftingGlobals	SemiGlobal	
0x7F890CAC	CribGlobals	SemiGlobal	
0x7F3B9D51	CurtainGlobals	SemiGlobal	
0x7F496A24	DanceGlobals	SemiGlobal	
0x7F026EBD	DartboardGlobal	SemiGlobal	
0x7F0AB421	DateRewardGlobals	SemiGlobal	
0x7FA815EA	DeskGlobals	SemiGlobal	
0x7FDFFE55	DiningGlobals	SemiGlobal	
0x7F084A90	DirtPile_Globals	SemiGlobal	
0x7F6E333B	DishwasherGlobals	SemiGlobal	
0x7FDC2970	Displayglobals	SemiGlobal	
0x7FA083E3	DisplayPetGlobals	SemiGlobal	
0x7F545E8D	DollHouseGlobals	SemiGlobal	
0x7FD0DEBA	DoorGlobalsNew	SemiGlobal	
0x7F92C7E1	DrivewayGlobals	SemiGlobal	
0x7F376D8B	EaselGlobals	SemiGlobal	
0x7F25E399	EffectHolderGlobals	SemiGlobal	
0x7FE6B74C	ElevatorGlobals	SemiGlobal	
0x7FF941DF	EmitterGlobals	SemiGlobal	
0x7F9AB517	ExercisemachineGlobals	SemiGlobal	
0x7FFD4F2D	FireplaceGlobals	SemiGlobal	
0x7FCFF92E	FlamingoGlobals	SemiGlobal	
0x7F8A5209	FlowerGlobals	SemiGlobal	
0x7F3C9675	Food_Globals	SemiGlobal	
0x7F347DAB	FoodContainer_Globals	SemiGlobal	
0x7F8834C8	FoodDish_Globals	SemiGlobal	
0x7F70D280	FoodDisplayGlobals	SemiGlobal	
0x7F23B01B	FoodProcessor_Globals	SemiGlobal	
0x7FE3E694	FoodStandGlobals	SemiGlobal	
0x7F9A5330	FridgeGlobals	SemiGlobal	
0x7F383346	GardenGlobals	SemiGlobal	
0x7F6E998E	GrandfatherClockGlobals	SemiGlobal	
0x7FCE2168	HarvestableGlobals	SemiGlobal	
0x7F2BBA62	HelipadGlobals	SemiGlobal	
0x7F83411E	HighChairGlobals	SemiGlobal	
0x7F8C5BAC	HotelDeskGlobals	SemiGlobal	
0x7FEABABA	HottubGlobals	SemiGlobal	
0x7F7FA83D	IdleGlobals	SemiGlobal	
0x7F6662D5	ightGlobals	SemiGlobal	
0x7F8F4EB6	JobDataGlobals	SemiGlobal	
0x7FBE051B	JobDataSchoolGlobals	SemiGlobal	
0x7F9CE3AF	juicerglobals	SemiGlobal	
0x7F4BF0DB	JungleGymGlobals	SemiGlobal	
0x7F38969E	KegGlobals	SemiGlobal	
0x7F60C397	LampGlobals	SemiGlobal	
0x7F4899DB	LightGlobals	SemiGlobal	
0x7FB8B012	LitterBoxGlobals	SemiGlobal	
0x7F0136DC	LotTransitionGlobals	SemiGlobal	
0x7F20C1E4	MagazineGlobals	SemiGlobal	
0x7F3A03A4	MailBoxGlobals	SemiGlobal	
0x7F17E3A4	MajorGlobals	SemiGlobal	
0x7F575EBF	MemoryGlobals	SemiGlobal	
0x7FE1C9FB	MicrowaveGlobals	SemiGlobal	
0x7F84A9F4	MirrorGlobals	SemiGlobal	
0x7F449F3B	MusicGlobals	SemiGlobal	
0x7F491269	OrchardTreeGlobals	SemiGlobal	
0x7F18E0F0	PaintingGlobals	SemiGlobal	
0x7F553580	PersonalityGlobals	SemiGlobal	
0x7F01EC29	PersonGlobals	SemiGlobal	
0x7FD05A1E	PetBedGlobals	SemiGlobal	
0x7F020C14	PetFoodDishGlobals	SemiGlobal	
0x7F67DD1B	PetGlobals	SemiGlobal	
0x7FBD3903	PhoneCallGlobals	SemiGlobal	
0x7FB208FA	PhoneGlobals	SemiGlobal	
0x7F5A0600	PhotoBoothGlobals	SemiGlobal	
0x7FA53DF6	PianoGlobals	SemiGlobal	
0x7FC9DC08	PinballMachineGlobals	SemiGlobal	
0x7F48CA31	PlantGlobals	SemiGlobal	
0x7F71C68E	PokerTableGlobals	SemiGlobal	
0x7FE49F9B	Pool_Globals	SemiGlobal	
0x7F681D60	PoolTable_Globals	SemiGlobal	
0x7FC758D8	PotionGlobals	SemiGlobal	
0x7F293E85	PuddleGlobal	SemiGlobal	
0x7F7BA762	ReactionGlobals	SemiGlobal	
0x7FA6640C	RemoteControlCarGlobals	SemiGlobal	
0x7F011198	RinkGlobals	SemiGlobal	
0x7FEC2140	RoachGlobals	SemiGlobal	
0x7F9BFA55	RobotGlobals	SemiGlobal	
0x7F5BB15F	RouteBehaviorGlobals	SemiGlobal	
0x7F2B6F4B	RugGlobals	SemiGlobal	
0x7FE10572	ShoppingRackGlobals	SemiGlobal	
0x7F1A9ECC	ShrubGlobals	SemiGlobal	
0x7FD2752D	SignGlobals	SemiGlobal	
0x7F7638B3	SinkGlobals	SemiGlobal	
0x7F1CEB97	SnowballFightGlobals	SemiGlobal	
0x7F6AB593	SnowManGlobals	SemiGlobal	
0x7FC80134	SoccerNetGlobal	SemiGlobal	
0x7FD90EDB	SocialGlobals	SemiGlobal	
0x7F675EF2	SocialMarkerGlobals	SemiGlobal	
0x7FAE06B0	SofaGlobals	SemiGlobal	
0x7F8B4A08	SofaSocialGlobals	SemiGlobal	
0x7F117CD9	StairModularGlobals	SemiGlobal	
0x7F3B5482	StairsSpiralGlobals	SemiGlobal	
0x7F0C60C8	StairsStraightGlobals	SemiGlobal	
0x7F4F06CA	StereoGlobals	SemiGlobal	
0x7F033984	Stove_Globals	SemiGlobal	
0x7FDA22BB	StoveGrill_Globals	SemiGlobal	
0x7FDB80FC	StuffedAnimal_Globals	SemiGlobal	
0x7F85C391	TableCoffee_Globals	SemiGlobal	
0x7F7234D0	TableDining_Globals	SemiGlobal	
0x7FD178FF	TableEnd_Globals	SemiGlobal	
0x7F514EE5	TableMassageGlobals	SemiGlobal	
0x7FAB30B7	TableTeaGlobals	SemiGlobal	
0x7FFEA664	TelescopeGlobals	SemiGlobal	
0x7FE69D2A	TelevisionChannelGlobals	SemiGlobal	
0x7F92832C	TelevisionGlobals	SemiGlobal	
0x7FD3AF67	ThoughtGlobals	SemiGlobal	
0x7F7D730B	ToasterOvenGlobals	SemiGlobal	
0x7F1059B4	ToastingSetGlobals	SemiGlobal	
0x7F16556B	ToiletGlobals	SemiGlobal	
0x7F277790	ToyBoxGlobals	SemiGlobal	
0x7F119F0A	ToyboxToysGlobals	SemiGlobal	
0x7FE1FE8A	ToyJackInTheBoxGlobals	SemiGlobal	
0x7FEF86EB	ToyKiteGlobals	SemiGlobal	
0x7F28EEB6	ToyLanguageGlobals	SemiGlobal	
0x7F05E901	ToyWaterWiggleSprinklerGlobals	SemiGlobal	
0x7F39D7FB	ToyXylophoneGlobals	SemiGlobal	
0x7FA3FCFE	TrashGlobals	SemiGlobal	
0x7F6B7BD0	TreeGlobals	SemiGlobal	
0x7FACC12B	TriggerHandler_Global	SemiGlobal	
0x7FE69E23	TubAndShowerGlobals	SemiGlobal	
0x7F63E3F2	TutorialScriptingGlobals	SemiGlobal	
0x7F38B8A7	UrnStoneGlobals	SemiGlobal	
0x7FC6FC76	urtainGlobals	SemiGlobal	
0x7F723E9D	VanityGlobals	SemiGlobal	
0x7F0B2AE7	VideoGame_CD_Globals	SemiGlobal	
0x7F9A5831	VideoGame_Controller_Globals	SemiGlobal	
0x7F61CD20	VideoGame_Globals	SemiGlobal	
0x7F07B054	WalkSignGlobals	SemiGlobal	
0x7F759586	WaterPlantGlobals	SemiGlobal	
0x7F62606D	WeatherGlobals	SemiGlobal	
0x7FF616D0	Windowglobals	SemiGlobal	
0x7FEB25E9	WishingWellGlobals	SemiGlobal	
0x7FB22737	WitchGlobals	SemiGlobal	
0x7FEA7E89	__Charles' Scenario Thing	Object	
0x7F32DFAF	__Charles' Tester	Object	
0x7FFC7861	__Generic Test Object For Jake	Object	
0x7F829470	__The Semester Tester	Object	0x7F17E3A4
0x7F4D8BB0	__Vehicle TEST	Object	0x7F56BB72
0x7FDDF239	_Chance Card Dialog Tester	Object	
0x7FBFCD16	_Coordinate	Object	
0x7F6F2C80	_Create Family	Object	
0x7FF5B9B7	_Fashion Show Tester	Object	
0x7F033FF2	_Inventory Save Test	Object	
0x7F86E11D	_Jake Test - Multi-tile Object from Piece	Object	
0x7FA8A461	_MakeMeSick	Object	
0x7F95FD72	Bed - Double - Medieval / _NEW_NEWBed - Double - Moderate	Object	0x7F4437F2
0x7F1A7F3B	Bed - Single - Medieval / _NEW_NEWBed - Single - Cheap	Object	0x7F4437F2
0x7F267FE9	Column - Multistory - 3 Story - Classical / _NEW_NEWColumn - Multistory - 3 Story - Classical	Object	
0x7F2BE9C9	Window - Groovy / _NEW_NEWWindow - Plate Glass - Regular	Object	0x7FF616D0
0x7FFDD06F	Window - Groovy - Diagonal / _NEW_NEWWindow - Plate Glass - Regular Diagonal	Object	0x7FF616D0
0x7FCFA65C	Bed - Double - Groovy_NEWBed - Double - Moderate - C / _NEWBed - Double - Moderate	Object	0x7F4437F2
0x7F1DB2FA	Bed - Single - Groovy / _NEWBed - Single - Cheap	Object	0x7F4437F2
0x7FE6B1DA	Car - Wedding - Limo	Object	0x7F4EA230
0x7F4225F1	Chair - Recliner - Groovy / _NEWChair - Recliner - Value	Object	0x7F0B61F3
0x7F4A16FD	Door - 2 Tile - Diagonal - Central Asian / _NEWDoor - 2 Tile - Diagonal - Template	Object	0x7FD0DEBA
0x7F38B5B4	Door - 2 Tile - Central Asian / _NEWDoor - 2 Tile - Template	Object	0x7FD0DEBA
0x7FBFFB00	Dresser - Groovy / _NEWDresser - Loft	Object	0x7FE10572
0x7FA7321D	Pinball Machine - UFO / _NEWPinball Machine - Shark	Object	0x7FC9DC08
0x7F35A7BD	Table - Coffee - Groovy / _NEWTable - Coffee - Template	Object	0x7F85C391
0x7F1BAC50	Window - Medieval / _NEWWindow - Plate Glass - Regular	Object	0x7FF616D0
0x7FDB7E9D	Window - Medieval - Diagonal / _NEWWindow - Plate Glass - Regular Diagonal	Object	0x7FF616D0
0x7F58BE72	_Object Array Test	Object	
0x7F5CA3A0	_Rodney's Death Creator	Object	
0x7F37D418	_Shader_MatAlphaAdditive / _Shader_MatAlphaBlend / _Shader_MatAlphaBlendReflective / _Shader_MatAlphaMask / _Shader_MatAlphaMaskBump / _Shader_MatBump / _Shader_MatCosinePower / _Shader_MatDiffuseIntensity / _Shader_MatEnvCubeReflection / _Shader_MatIncandescence / _Shader_MatUVAnimation / _Shader_vertexAlpha / _Shader_waterAnimatingTextures	Object	
0x7FBD17D9	_Sniff Test - Multi-Tile Object / _Sniff Test Object	Object	
0x7F11C547	_TEST FAMILY INVENTORY	Object	0x7F0B2AE7
0x7F778ED7	_Tombstone  of Life And Death	Object	
0x7FF5A695	_Tour Guide Dialog Tester	Object	
0x7FD07A29	_Vehicle Scheduler Prototype	Object	
0x7F59D7B0	_Vicki's Test Object	Object	
0x7F146EF5	_Walk Run Test	Object	
0x7FEDC112	_ZitsMaker	Object	
0x7FBF894E	?	Object	0x7FE6EE0D
0x7F3B2C31	?	Object	0x7F20C1E4
0x7F03B50D	Accessory - Acne Cream	Object	0x7FE6EE0D
0x7F176C6D	Accessory - Activity Table Block	Object	
0x7F879723	Accessory - Activity Table Block Bunch	Object	0x7FE6EE0D
0x7FF19C60	Accessory - Activity Table Crayon	Object	0x7FE6EE0D
0x7F4D84B9	Accessory - Apartment - Bill	Object	0x7FE6EE0D
0x7F41334B	Accessory - Baby Powder	Object	0x7FE6EE0D
0x7FBE5035	Accessory - DrumStick	Object	0x7FE6EE0D
0x7F26A954	Accessory - Band - Guitar - Career	Object	0x7F449F3B
0x7FDBC1B7	Accessory - Bandatron Ticket	Object	0x7FE6EE0D
0x7F8B62ED	Accessory - BarBlender	Object	0x7FE6EE0D
